1712919,Lê Văn A,CNTT,2017,12/01/1999,dd1@gmail.com,17a.jpg,Không nói mà làm,"đánh cầu lông; nghe nhạc"
1712920,Lê Văn B,CNTT,2017,13/01/1999,dd12@gmail.com,17b.jpg,Không nói mà làm,"đánh cầu lông; nghe nhạc"
1712921,Lê Văn C,CNTT,2017,14/01/1999,dd14@gmail.com,17c.jpg,Không nói mà làm,"đánh cầu lông; nghe nhạc"
1612922,Lê Văn D,CNTT,2016,15/01/1998,dd15@gmail.com,17d.jpg,Không nói mà làm,"đánh cầu lông; nghe nhạc"
1612923,Lê Văn E,CNTT,2016,16/01/1998,dd16@gmail.com,17e.jpg,Không nói mà làm,"đánh cầu lông; nghe nhạc"
1612924,Lê Văn F,CNTT,2016,17/01/1998,dd17@gmail.com,17f.jpg,Không nói mà làm,"đánh cầu lông; nghe nhạc"
1512925,Lê Văn G,CNTT,2015,18/01/1997,dd18@gmail.com,17g.jpg,Không nói mà làm,"đánh cầu lông; nghe nhạc"
1512926,Tuấn Lờ Cờ  Tờ,CNTT,2015,19/01/1997,dd19@gmail.com,171a.jpg,ăn ở sạch sẽ và ngăn nắp,"tán gái; nghe nhạc"
1612927,Vinh Trần Quốc,CNTT,2016,20/01/1998,dd153@gmail.com,171b.jpg,mắt một mí và răng khểnh,"xem phim, đi phượt "
1612928,Trần Thị Bình Minh,CNTT,2016,21/01/1998,dd135@gmail.com,171c.jpg,chiều cao Căn bậc hai,"xem phim ma, anh hùng bàn phím"
